doc_index,char_lev,char_lev_norm,word_lev,word_lev_norm,token_ratio,jaccard
193,1263,0.5815,274,0.7154,0.3191,0.3067
194,1874,0.6589,387,0.845,0.1731,0.1868
195,1176,0.6766,253,0.8377,0.1415,0.1858
196,2154,0.7555,416,0.8851,0.168,0.1455
197,595,0.5303,116,0.6409,0.4983,0.3456
198,669,0.5072,161,0.691,0.4028,0.3562
199,1333,0.6506,291,0.8151,0.1622,0.1706
200,707,0.6202,148,0.7629,0.3252,0.2143
201,1846,0.6507,399,0.7948,0.1767,0.2903
202,717,0.6419,152,0.8216,0.2786,0.2645
203,547,0.6105,122,0.7485,0.332,0.2683
204,564,0.4574,116,0.5472,0.4645,0.3422
205,1247,0.603,252,0.72,0.3529,0.3297
206,478,0.3973,84,0.4565,0.6235,0.4737
207,613,0.6459,126,0.8077,0.278,0.1875
208,703,0.724,143,0.9108,0.0909,0.1534
209,569,0.5419,112,0.6914,0.4097,0.2812
210,1361,0.6698,266,0.816,0.2145,0.1879
211,712,0.6455,142,0.8353,0.2559,0.1905
212,655,0.4682,130,0.5702,0.474,0.3617
213,306,0.2749,54,0.2827,0.7189,0.6174
214,752,0.7619,152,0.9325,0.0847,0.0846
215,987,0.698,175,0.7955,0.3042,0.2229
216,597,0.6136,117,0.7267,0.4227,0.2946
217,885,0.5104,203,0.6835,0.3442,0.3217
218,669,0.5968,141,0.7705,0.3422,0.3041
219,691,0.6351,151,0.7865,0.3576,0.2848
220,819,0.6605,149,0.8054,0.269,0.2171
221,780,0.6544,162,0.8438,0.1791,0.1347
222,1803,0.6378,379,0.7719,0.2396,0.2556
223,1063,0.7539,219,0.8795,0.1775,0.1559
224,933,0.5777,188,0.6787,0.4256,0.3318
225,435,0.5179,105,0.6774,0.4071,0.2734
226,644,0.7352,132,0.8742,0.2386,0.2298
227,484,0.3664,94,0.4292,0.6253,0.426
228,1033,0.644,215,0.8206,0.2179,0.1762
229,676,0.6324,142,0.8208,0.3158,0.2414
230,631,0.6896,131,0.8239,0.2591,0.2143
231,710,0.5508,167,0.7523,0.3392,0.2629
232,669,0.6335,142,0.7717,0.3072,0.1977
233,1266,0.746,263,0.9326,0.0491,0.1086
234,596,0.6549,120,0.8054,0.2353,0.2074
235,1213,0.5981,256,0.7642,0.3206,0.2532
236,1335,0.5581,293,0.7343,0.2651,0.2997
237,628,0.6576,134,0.7614,0.3063,0.2733
238,848,0.5844,178,0.7295,0.3524,0.2464
