doc_index,char_lev,char_lev_norm,word_lev,word_lev_norm,token_ratio,jaccard
156,470,0.3138,101,0.384,0.6835,0.5729
157,602,0.6984,116,0.8,0.2898,0.1611
158,367,0.4055,85,0.5484,0.5781,0.4733
159,221,0.122,57,0.1804,0.849,0.7723
160,1403,0.5402,279,0.6923,0.3836,0.3779
161,532,0.5038,111,0.6236,0.4783,0.4228
162,511,0.6069,117,0.7697,0.383,0.2302
163,763,0.5373,161,0.688,0.3392,0.3198
164,1137,0.7133,237,0.8618,0.1228,0.1847
165,847,0.5087,180,0.6667,0.4146,0.362
166,834,0.5601,181,0.787,0.3057,0.3058
167,897,0.3244,181,0.4067,0.6704,0.569
168,724,0.5896,161,0.7523,0.3536,0.2935
169,1042,0.5958,217,0.8097,0.2371,0.2276
170,675,0.6131,143,0.7857,0.3158,0.24
171,401,0.3367,87,0.4754,0.6133,0.4854
172,644,0.5194,135,0.6618,0.3669,0.3368
173,447,0.4233,98,0.5698,0.5636,0.4615
174,650,0.6944,135,0.8766,0.1773,0.1173
175,627,0.4117,134,0.5425,0.5252,0.4764
176,744,0.3827,166,0.5321,0.549,0.457
177,560,0.4291,123,0.5721,0.5107,0.5102
178,509,0.5844,109,0.7315,0.3462,0.2681
179,756,0.4909,159,0.6046,0.5116,0.4502
180,168,0.166,40,0.2516,0.7823,0.7287
181,1395,0.6534,276,0.8679,0.1902,0.2027
182,404,0.1814,100,0.2717,0.7748,0.7558
183,421,0.4231,87,0.5839,0.5448,0.4519
184,400,0.3992,86,0.5029,0.6106,0.5045
185,898,0.5053,190,0.6333,0.4919,0.3871
186,199,0.1468,53,0.2387,0.8173,0.7075
187,950,0.6367,180,0.8072,0.2079,0.1915
188,482,0.5063,98,0.6447,0.5226,0.4315
189,354,0.346,82,0.474,0.6127,0.5214
190,690,0.6133,123,0.7235,0.4095,0.2674
191,880,0.3614,184,0.4868,0.5694,0.565
192,533,0.4138,117,0.5342,0.5403,0.5276
193,1153,0.5308,245,0.6397,0.469,0.3382
194,1185,0.4167,266,0.5808,0.507,0.4162
195,1295,0.7451,274,0.9073,0.0423,0.1038
196,1064,0.3732,220,0.4681,0.6145,0.5549
197,416,0.3649,97,0.5187,0.5707,0.5152
198,668,0.4623,152,0.623,0.457,0.4018
199,748,0.3651,170,0.4762,0.6149,0.5418
200,682,0.5982,144,0.7423,0.3914,0.2446
201,2099,0.7399,454,0.9044,0.0948,0.1713
202,846,0.7145,167,0.9027,0.1863,0.1514
203,639,0.7132,143,0.8773,0.1724,0.16
204,629,0.5101,143,0.681,0.4557,0.3558
205,1403,0.6784,302,0.8629,0.1133,0.1873
206,373,0.3101,67,0.3641,0.7241,0.6338
207,197,0.205,52,0.325,0.7405,0.6825
208,470,0.484,99,0.6306,0.4918,0.4191
209,381,0.3629,83,0.5123,0.5944,0.4694
210,1334,0.6565,271,0.8313,0.2382,0.1973
211,530,0.4476,105,0.5707,0.5424,0.4049
212,742,0.5304,160,0.7018,0.356,0.2683
213,427,0.3579,99,0.476,0.6202,0.4959
214,277,0.2708,57,0.3476,0.7401,0.6471
215,657,0.4646,154,0.6844,0.3326,0.4528
216,351,0.3375,79,0.4593,0.6547,0.5495
217,1216,0.7013,258,0.8687,0.1326,0.1673
218,776,0.6922,165,0.9016,0.1988,0.1762
219,472,0.4338,105,0.5469,0.5393,0.4268
220,311,0.2508,66,0.3568,0.7288,0.6
221,895,0.7397,168,0.875,0.2411,0.1927
222,1611,0.5699,367,0.7475,0.2807,0.3121
223,674,0.4263,151,0.5393,0.4991,0.3828
