doc_index,char_lev,char_lev_norm,word_lev,word_lev_norm,token_ratio,jaccard
169,1032,0.7098,228,0.8941,0.0945,0.119
170,828,0.752,161,0.8846,0.1796,0.1554
171,775,0.6507,144,0.7869,0.3333,0.2595
172,700,0.6604,146,0.7978,0.2886,0.2264
173,785,0.7469,157,0.9128,0.0856,0.0872
174,614,0.656,133,0.8636,0.1928,0.1688
175,1077,0.7072,219,0.8866,0.1064,0.1567
176,1459,0.779,275,0.9167,0.1013,0.1256
177,990,0.8155,194,0.951,0.121,0.1159
178,672,0.7715,138,0.9262,0.051,0.0413
179,1175,0.7756,231,0.913,0.0483,0.1128
180,664,0.6776,131,0.8239,0.2185,0.1633
181,1449,0.7363,281,0.8978,0.1204,0.1696
182,1541,0.692,323,0.8777,0.1538,0.1825
183,750,0.7538,135,0.906,0.0571,0.1061
184,635,0.7249,135,0.9,0.0818,0.1901
185,1468,0.8261,282,0.94,0.0815,0.0783
186,813,0.6642,164,0.8454,0.1538,0.184
187,858,0.6687,168,0.8,0.2883,0.2203
188,668,0.7017,132,0.8684,0.2162,0.1586
189,607,0.5934,123,0.711,0.3852,0.2778
190,801,0.712,145,0.8683,0.1667,0.1319
191,1748,0.7179,329,0.8704,0.1784,0.1939
192,786,0.6512,165,0.8128,0.3018,0.2487
193,1740,0.8011,363,0.9478,0.0756,0.0996
194,2180,0.7665,420,0.917,0.1046,0.097
195,1324,0.7618,278,0.9205,0.1,0.1065
196,2139,0.7503,430,0.9149,0.0658,0.1341
197,784,0.6988,166,0.9171,0.0943,0.1273
198,931,0.7058,195,0.8369,0.2507,0.2062
199,1472,0.7184,308,0.8627,0.1679,0.1341
200,792,0.6947,168,0.866,0.1935,0.1716
201,2301,0.8111,475,0.9462,0.0514,0.1031
202,782,0.7001,163,0.8811,0.0943,0.1456
203,712,0.7946,152,0.9325,0.0288,0.1043
204,845,0.6853,178,0.8476,0.2143,0.1667
205,1442,0.6973,306,0.8743,0.1625,0.1723
206,796,0.6617,144,0.7826,0.292,0.2353
207,646,0.6807,130,0.8333,0.2328,0.1745
208,695,0.7158,144,0.9172,0.0891,0.1364
209,741,0.7057,148,0.9136,0.0876,0.125
210,1390,0.6841,265,0.8129,0.2658,0.2056
211,825,0.748,152,0.8941,0.1339,0.1275
212,847,0.6054,180,0.7895,0.3047,0.2389
213,814,0.7812,165,0.9218,0.1223,0.1008
214,388,0.3931,76,0.4663,0.6418,0.6038
215,1137,0.8041,197,0.8955,0.1901,0.1375
216,606,0.6228,127,0.7888,0.1831,0.2581
217,1462,0.8431,285,0.9596,0.0341,0.0804
218,779,0.6949,155,0.847,0.2206,0.1818
219,702,0.6452,153,0.7969,0.2305,0.2075
220,953,0.7685,174,0.9405,0.072,0.093
221,788,0.6611,157,0.8177,0.2614,0.1786
222,2245,0.7941,460,0.9369,0.0533,0.1268
223,1027,0.7284,227,0.9116,0.0912,0.1055
224,1211,0.7498,253,0.9134,0.06,0.0977
225,717,0.7309,146,0.9419,0.1889,0.1321
226,658,0.7511,142,0.9404,0.0731,0.0743
227,982,0.7434,196,0.895,0.0973,0.108
228,1147,0.7151,238,0.9084,0.0559,0.1275
229,748,0.7399,156,0.9231,0.0833,0.0795
230,661,0.7224,142,0.8931,0.1636,0.1124
231,972,0.7541,204,0.9189,0.1316,0.1271
232,725,0.6866,160,0.8696,0.2013,0.1593
233,1347,0.7938,267,0.9468,0.0716,0.0792
234,616,0.6769,127,0.8523,0.211,0.2126
235,1486,0.7327,293,0.8746,0.1919,0.164
236,1998,0.8353,377,0.9449,0.0598,0.0943
237,721,0.755,165,0.9375,0.0763,0.0889
238,1079,0.7436,219,0.8975,0.1375,0.1429
